221900,3,1,1
538000,3,2.25,2
180000,2,1,1
604000,4,3,1
510000,3,2,1
1.23E+06,4,4.5,1
257500,3,2.25,2
291850,3,1.5,1
229500,3,1,1
323000,3,2.5,2
662500,3,2.5,1
468000,2,1,1
310000,3,1,1.5
400000,3,1.75,1
530000,5,2,1.5
650000,4,3,2
395000,3,2,2
485000,4,1,1.5
189000,2,1,1
230000,3,1,1
385000,4,1.75,1
2.00E+06,3,2.75,1
285000,5,2.5,2
252700,2,1.5,1
329000,3,2.25,2
233000,3,2,1.5
937000,3,1.75,2
667000,3,1,1.5
438000,3,1.75,1
719000,4,2.5,2
580500,3,2.5,2
280000,2,1.5,3
687500,4,1.75,1.5
535000,3,1,1.5
322500,4,2.75,1
696000,3,2.5,1.5
550000,4,1,1
640000,4,2,2
240000,4,1,1
605000,4,2.5,2
625000,4,2.5,2
775000,4,2.25,1
861990,5,2.75,2
685000,3,1,2
309000,3,1,1
488000,3,2.5,2
210490,3,1,1
785000,4,2.5,2
450000,3,1.75,1
1.35E+06,3,2.5,1
228000,3,1,1
345000,5,2.5,1
600000,3,1.75,1
585000,2,1.75,1
920000,5,2.25,1.5
885000,4,2.5,2
292500,4,2.5,2
301000,3,2.5,2
951000,5,3.25,2
430000,4,3,2
650000,3,2.25,1
289000,3,1.75,1
505000,3,1.75,2
549000,3,1.75,3
425000,3,2.25,1
317625,3,2.75,1.5
975000,4,2.5,2
287000,4,2.5,2
204000,3,1,1
1.33E+06,5,2.25,1
1.04E+06,5,3.25,1
325000,3,2,1
571000,4,2,1.5
360000,4,2.5,2
349000,3,1.75,1
832500,4,4,2
380000,4,1.75,1
480000,3,1,1
410000,3,1,1
720000,4,2.5,2
390000,3,2.5,2
360000,4,2.5,2
355000,2,1,1
356000,3,1.5,1
315000,3,1,1
940000,3,1.5,2
305000,5,2.25,1.5
461000,3,3.25,2
215000,2,2.25,2
335000,2,1.75,2
243500,4,2.5,2
1.10E+06,5,2.75,2
153000,3,1,1
430000,3,1.5,1
700000,3,1.5,1
905000,4,2.5,1
247500,3,1.75,1
199000,4,1.5,1
314000,3,1.75,1
437500,3,2.5,2
850830,3,2.5,1.5
555000,3,2,1.5
699950,3,2.25,2
1.09E+06,3,2.5,2
290000,3,1,1
375000,3,2.5,1
460000,3,1,1.5
188500,2,1.75,1
680000,4,2.5,2
470000,5,1.75,2
597750,4,2.5,2
570000,3,1.75,1
272500,3,1.75,1
329950,3,1.75,1
480000,4,2.5,2
740500,3,3.5,2
518500,3,3.5,3
205425,2,1,1
171800,4,2,1
535000,4,1,1.5
660000,3,2.5,1
391500,3,2,1
395000,2,1,1
445000,4,1.75,1.5
770000,3,2.25,2
1.45E+06,4,2.75,1.5
445000,3,2.25,1
260000,4,2.25,1
822500,5,3.5,2
430000,4,2.5,2
212000,3,1.75,1
660500,4,2.25,1
784000,3,3.5,1.5
453246,3,2.5,2
675000,4,3.5,3
199000,3,1.75,1
220000,4,1.75,1
452000,4,2.25,1
382500,2,1,1
519950,3,2.25,3
665000,2,1,1
527700,5,2.5,1
205000,3,1,1
420000,3,1,1
500000,4,2.25,1
921500,4,2.5,2
890000,4,1,2
430000,2,2.5,2
258000,5,2,1
511000,3,1,1
532170,3,2,2
560000,3,1,1.5
282950,3,1,1
2.25E+06,4,3.25,2
350000,1,1,1
215000,3,1,1
650000,5,3.5,2
320000,4,2.75,1
247000,3,2,1.5
320000,4,1.75,1
255000,5,2.25,1
438000,3,1.75,1
900000,3,2.5,2
441000,3,2.75,1
420000,3,2,1
370000,3,1.75,1
269950,2,1.75,1
807100,4,2.5,2
653000,3,2.5,1
371500,3,2,1
284000,3,1.75,1
272000,3,1.75,1
313000,3,1.5,1.5
917500,4,2.5,2
673000,4,2.25,2
425000,3,2.5,2
399950,5,2.75,1
385000,3,1,1
269950,3,1.5,1
330000,2,1,1
260000,3,2.5,2
470000,4,3,1.5
589000,4,3,2
163500,2,1.5,2
835000,4,2.75,2
1.10E+06,5,3,1
269000,4,1.75,1
560000,3,2.5,2
615000,4,1,1.5
585188,3,2.25,1
305000,3,1.75,1
166950,3,1,1
799000,3,2.5,1
400000,3,2.5,1
230000,3,1,1
256883,3,2.5,2
423000,4,2,1.5
465000,3,2.5,2
440000,3,2.5,2
385000,3,1.75,1
210000,3,1,1
297000,3,2.5,2
470000,3,1,1
226500,3,1.5,1
274250,3,1,1
840000,4,1.75,1
677900,3,2.5,2
425000,3,1,1
180250,2,0.75,1
464000,6,3,2
320000,4,2.25,2
625504,3,2.25,2
592500,4,2.5,1
465000,3,2.5,2
477000,4,2.75,2
280000,2,1,1
1.51E+06,5,3,1
445838,3,2.5,2
1.07E+06,2,2.25,1
467000,2,1.5,1
686000,4,2.5,2
279950,3,2,1
527000,4,2.25,2
325000,3,2.25,1
328000,3,2.25,2
390000,3,2.25,1
479950,2,2,1
264950,4,2.25,1
235000,3,1,1
516500,3,2.5,2
655000,2,1.75,2
500000,4,2.75,1
315000,6,2.75,1
213000,2,1,1
475000,3,1.5,1.5
1.03E+06,5,4,2
416000,3,2,1
410000,4,1,1.5
800000,3,3.5,2
472000,6,2.5,1
225000,3,1.75,1
210000,2,1,1
455000,2,1,1.5
225000,3,1,1
480000,2,1,1
363000,3,2.5,2
2.40E+06,4,2.5,1
181000,2,1.5,1
250000,4,2,1
481000,3,1.75,1
260000,3,2,1
455000,4,2.5,2
415000,3,2.25,2
349500,3,1,1
245000,3,2.5,2
592500,2,2,1.5
385000,4,1.75,1
315000,3,1.75,1
255000,3,1,1
693000,4,2.5,2
780000,3,1,1.5
237000,3,1.75,1
525000,3,2.25,2
425000,2,1,1
369900,1,0.75,1
290000,4,2.5,2
285000,3,1,1
415000,2,1,1
272500,3,2.5,1
2.90E+06,4,3.25,1.5
1.37E+06,4,4.75,2
436000,2,1,1
210000,3,1,1
236000,3,1,1
331000,3,1.75,1
365000,3,2.5,2
450000,3,2,1
770000,4,2.75,2
455000,4,2.5,1
405000,3,1.75,1
304900,4,1.75,1
170000,2,1,1
2.05E+06,5,3,2
780000,4,2.5,2
330000,3,3,1
370000,4,2.5,2
467000,5,2.25,1
405000,3,1.75,1
675000,5,2.25,1
500000,2,1,1
389999,4,2.5,2
630000,4,1.75,1
360000,4,2.5,2
580000,4,3,2
550000,3,2,2
879000,4,2.5,2
265000,3,2,1
446500,3,2.5,2
404000,3,1.5,1
267500,3,1.75,1
3.08E+06,4,5,1
335000,3,2.5,2
576000,3,2.5,1
208633,3,2.5,2
315000,3,2.25,1
725000,3,1.75,1
550000,4,2.75,1
610750,4,2.25,2
550700,2,1,1.5
665000,4,2.75,2
834000,4,2.5,1.5
201000,5,1.75,1.5
2.38E+06,5,2.5,2
1.38E+06,4,3.25,1
1.40E+06,4,3.25,1
305000,4,2.25,1
487000,3,2,1
390000,3,2.5,1
548000,2,1,1
268750,4,1,1
819900,5,2.75,2
520000,3,2.25,2
230000,3,2,1
240000,3,1.75,1
232000,2,1,1
240500,2,1,1
274975,3,2.5,2
740000,4,2,1.5
186375,3,1,1
790000,3,2.25,1
880000,4,3.5,2
279000,6,1.75,2
295000,3,2,1
640000,2,1,1
940000,4,2,2
260000,4,2.5,2
559900,3,2.75,1
791500,4,2,1.5
265000,3,1.75,1
245000,3,1.75,1
485000,4,1.75,2
684000,4,3.5,2
425000,3,1.75,1
309600,4,1.75,1
552250,4,2.5,2
165000,4,1,1
239900,4,1,1
320000,2,1,1
206600,3,2,1
387000,4,1.75,1
299000,1,0.75,1
855000,4,2.75,2
315000,3,1,1
437500,2,1,1
252000,4,1.5,1
375000,4,1.75,1
300000,4,2.5,2
420000,4,1,1.5
900000,3,1,1
679900,3,2.5,2
463000,3,2.5,2
380000,5,2.5,2
329500,4,2.5,2
604950,3,2.5,1
795000,5,2.5,1
465000,3,2,2
673000,4,2.5,2
810000,4,2.5,2
785000,4,2.75,1
338000,4,3,1
280000,3,2.25,2
315000,4,2.25,1
530000,4,2.25,1
380000,5,3,2
297000,3,2.25,2
730000,4,2.5,2
450000,3,1.75,1
275000,3,3,1
595000,4,2,2
435000,3,1.5,1.5
270000,2,1.5,1
950000,3,3,2
389000,4,2.25,2
560000,4,2.25,1
1.35E+06,5,3.5,2
799000,4,2.25,2
365500,3,2,1
252350,3,2,1
403950,4,2.5,2
385000,4,1.5,1
345000,4,1,1.5
490000,3,2.75,2
330000,3,2.5,2
927000,4,2.75,2
1.12E+06,4,2.5,2
330000,2,1,1
530000,5,2.25,1
365000,4,2,1
378750,3,2.5,1.5
269900,4,1.75,1.5
557000,3,3.5,2
360000,4,1.75,1
352000,2,1,1
437000,3,2.5,2
322500,4,2.5,2
650000,3,3.25,2
450000,3,2,3
278500,3,2,1
364950,4,2.5,2
840000,4,3.5,1
268000,3,2.5,2
517534,2,1,1
632925,3,2.5,2
577500,3,2.5,2
339000,4,1.5,1.5
570000,3,1.75,1
563500,4,1.75,1
423000,4,2.25,1
355000,3,2.25,2
1.55E+06,5,4.25,2
482000,2,1,1
625000,3,1.75,1
538000,3,2.5,2
380000,3,2.5,2
375000,2,1,1
245000,3,2.5,1
310000,5,1.75,1
1.30E+06,3,2,1
397000,4,2,1
365000,3,2.5,2
328500,4,3,2
988000,4,3,2
1.00E+06,4,2.5,1.5
237000,3,2.5,2
525000,4,2.5,2
749000,4,2.5,1
722500,5,2.5,2
843000,3,2.5,2
438000,2,2,3
578000,3,1.75,1
227950,3,1.5,1
196000,3,2.25,2
641000,2,1,1
350000,3,1.5,1
205000,3,1,1
400000,3,1.75,1
1.03E+06,3,2.5,1
505000,3,2,1
475000,5,2.5,1
520000,3,2.25,1
1.45E+06,3,4.5,2
333500,3,1.75,1
232000,3,1,1
691100,3,2.75,1
811000,3,1.75,1
551000,3,2.5,2
496500,3,2.5,2
705000,3,3,2
578000,4,2.5,1
255000,3,1.75,1
1.05E+06,4,3.5,2
348000,3,2.25,2
230000,3,2,2
359500,4,2.25,2
330000,3,1,1
80000,1,0.75,1
465000,3,1.75,1
325000,4,2.5,2
340500,3,2,1
342500,3,2.5,2
290900,2,2,2
868700,3,4.25,2
1.20E+06,4,2.75,2
1.15E+06,4,3.25,2
859900,4,2.75,2
520000,4,2.25,2
460000,3,2.5,2
438924,3,1.5,1
315000,2,1,1
590000,4,2.75,1
378500,4,1.75,1
328500,3,2.5,2
849950,3,3,2
525000,3,1.5,1
1.39E+06,4,3.25,2.5
295000,4,2.5,1
1.07E+06,6,3.5,2
207950,2,2,1
699900,4,2.75,2
1.28E+06,5,2.5,2
452000,4,1.5,1
370000,3,2,1
232000,3,1.75,1
669950,5,2.5,2
397500,3,2,1
490000,2,2.5,2
725000,4,2,2
299000,3,2.75,1
625000,2,1.5,1.5
437500,3,2.5,2
650000,4,2.5,2
475000,2,1,1
342000,3,2,1
1.20E+06,4,2.5,2
280000,3,1.5,1
240000,2,1.75,1
529000,3,1,1.5
442000,3,1,1
615000,2,1,1
1.49E+06,4,3.75,2
585000,4,1.75,1
480000,4,2.5,2
